Source Name,RA,Dec,Significance,Energy Flux,L_BL Lac,L_FSRQ
4FGL J1922.5-7453,290.6279,-74.8876,16.4000,$(4.2\pm0.41)	imes10^{-12}$,0.9936,0.0064
4FGL J1628.3-3343,247.0812,-33.7241,10.0200,$(4.9\pm0.78)	imes10^{-12}$,0.9934,0.0066
4FGL J1911.5+0311,287.8984,3.1842,7.6200,$(2.6\pm0.56)	imes10^{-12}$,0.9934,0.0066
4FGL J0316.9-0625,49.2318,-6.4268,7.5600,$(1.8\pm0.34)	imes10^{-12}$,0.9934,0.0066
4FGL J2331.5-0258,352.8817,-2.9765,6.3500,$(1.8\pm0.37)	imes10^{-12}$,0.9933,0.0067
4FGL J1212.7-1402,183.1881,-14.0398,4.8500,$(1.1\pm0.33)	imes10^{-12}$,0.9930,0.0070
4FGL J0616.9+4340,94.2405,43.6815,4.9000,$(1.2\pm0.33)	imes10^{-12}$,0.9929,0.0071
4FGL J2300.8-0736,345.2084,-7.6140,8.0300,$(2.0\pm0.36)	imes10^{-12}$,0.9928,0.0072
4FGL J0624.2-2943,96.0616,-29.7178,5.8800,$(1.5\pm0.34)	imes10^{-12}$,0.9928,0.0072
4FGL J0725.5-0504,111.3911,-5.0747,6.9300,$(2.3\pm0.51)	imes10^{-12}$,0.9927,0.0073
4FGL J1918.1+3752,289.5328,37.8747,9.8300,$(2.3\pm0.42)	imes10^{-12}$,0.9927,0.0073
4FGL J0001.6-4156,0.4165,-41.9425,15.7200,$(3.6\pm0.42)	imes10^{-12}$,0.9927,0.0073
4FGL J2109.8-8618,317.4619,-86.3078,13.3600,$(3.2\pm0.41)	imes10^{-12}$,0.9927,0.0073
4FGL J2056.7+4939,314.1913,49.6663,34.0200,$(21.7\pm1.13)	imes10^{-12}$,0.9926,0.0074
4FGL J0013.4+0950,3.3544,9.8370,7.5500,$(2.0\pm0.42)	imes10^{-12}$,0.9925,0.0075
4FGL J1228.7-0318,187.1926,-3.3148,11.4500,$(3.9\pm0.47)	imes10^{-12}$,0.9924,0.0076
4FGL J2018.5+3852,304.6373,38.8715,17.4200,$(8.4\pm1.06)	imes10^{-12}$,0.9923,0.0077
4FGL J2241.5+0454,340.3846,4.9045,5.6700,$(1.2\pm0.33)	imes10^{-12}$,0.9923,0.0077
4FGL J1223.0+1100,185.7740,11.0070,10.0400,$(1.8\pm0.36)	imes10^{-12}$,0.9923,0.0077
4FGL J0226.7+2312,36.6815,23.2059,7.1800,$(2.2\pm0.43)	imes10^{-12}$,0.9922,0.0078
4FGL J1334.1-3521,203.5496,-35.3540,5.4200,$(1.2\pm0.31)	imes10^{-12}$,0.9922,0.0078
4FGL J0355.3+3909,58.8340,39.1665,5.1700,$(1.3\pm0.40)	imes10^{-12}$,0.9920,0.0080
4FGL J0649.3+2230,102.3396,22.5059,6.8100,$(2.2\pm0.43)	imes10^{-12}$,0.9919,0.0081
4FGL J1604.9-3414,241.2289,-34.2385,4.2800,$(1.2\pm0.36)	imes10^{-12}$,0.9919,0.0081
4FGL J0739.8-6722,114.9550,-67.3684,7.4300,$(1.3\pm0.36)	imes10^{-12}$,0.9918,0.0082
4FGL J1017.4+2538,154.3650,25.6428,6.5300,$(1.0\pm0.28)	imes10^{-12}$,0.9918,0.0082
4FGL J1857.8+3544,284.4562,35.7434,4.6000,$(1.1\pm0.31)	imes10^{-12}$,0.9918,0.0082
4FGL J0011.8-3142,2.9547,-31.7154,6.3300,$(1.3\pm0.28)	imes10^{-12}$,0.9917,0.0083
4FGL J0207.5-2402,31.8989,-24.0484,17.4500,$(4.5\pm0.37)	imes10^{-12}$,0.9914,0.0086
4FGL J1715.4-4025,258.8690,-40.4294,9.5000,$(7.4\pm1.61)	imes10^{-12}$,0.9914,0.0086
4FGL J1314.7-0901,198.6865,-9.0322,5.4200,$(1.3\pm0.34)	imes10^{-12}$,0.9912,0.0088
4FGL J2025.3-2231,306.3278,-22.5213,11.0600,$(3.1\pm0.42)	imes10^{-12}$,0.9911,0.0089
4FGL J1823.6-3453,275.9109,-34.8952,42.1800,$(21.6\pm1.10)	imes10^{-12}$,0.9911,0.0089
4FGL J1824.5+4311,276.1263,43.1958,11.0900,$(2.4\pm0.35)	imes10^{-12}$,0.9911,0.0089
4FGL J0802.3-0942,120.5752,-9.7139,19.4000,$(6.3\pm0.55)	imes10^{-12}$,0.9910,0.0090
4FGL J1836.5+1948,279.1259,19.8109,11.2000,$(4.4\pm0.54)	imes10^{-12}$,0.9910,0.0090
4FGL J2054.5+4731,313.6486,47.5223,6.2500,$(3.0\pm0.77)	imes10^{-12}$,0.9909,0.0091
4FGL J2017.5-4113,304.3923,-41.2328,9.9100,$(2.9\pm0.40)	imes10^{-12}$,0.9907,0.0093
4FGL J0638.7+2753,99.6887,27.8903,4.9300,$(1.3\pm0.36)	imes10^{-12}$,0.9905,0.0095
4FGL J0233.0+3740,38.2714,37.6825,8.1800,$(1.9\pm0.33)	imes10^{-12}$,0.9905,0.0095
4FGL J0559.9+6409,89.9990,64.1561,9.0600,$(2.0\pm0.30)	imes10^{-12}$,0.9905,0.0095
4FGL J0359.4-0236,59.8530,-2.6019,5.8400,$(1.6\pm0.40)	imes10^{-12}$,0.9904,0.0096
4FGL J0350.0+0640,57.5043,6.6754,5.8900,$(1.1\pm0.33)	imes10^{-12}$,0.9904,0.0096
4FGL J2035.9+4901,308.9807,49.0280,15.4600,$(9.0\pm0.91)	imes10^{-12}$,0.9904,0.0096
4FGL J1341.7-3907,205.4326,-39.1223,5.7900,$(1.4\pm0.35)	imes10^{-12}$,0.9904,0.0096
4FGL J0131.2+5547,22.8214,55.7849,15.3800,$(6.2\pm0.58)	imes10^{-12}$,0.9904,0.0096
4FGL J0347.6-0133,56.9013,-1.5514,4.8100,$(0.8\pm0.29)	imes10^{-12}$,0.9903,0.0097
4FGL J2024.7-2328,306.1831,-23.4779,7.4100,$(1.6\pm0.39)	imes10^{-12}$,0.9902,0.0098
4FGL J2138.3+3556,324.5854,35.9439,5.4100,$(1.6\pm0.38)	imes10^{-12}$,0.9901,0.0099
4FGL J1505.5-8241,226.3769,-82.6996,11.4000,$(2.8\pm0.40)	imes10^{-12}$,0.9899,0.0101
4FGL J0542.8-3458,85.7040,-34.9826,5.2600,$(0.9\pm0.26)	imes10^{-12}$,0.9899,0.0101
4FGL J0032.5-4724,8.1497,-47.4039,5.8300,$(0.9\pm0.24)	imes10^{-12}$,0.9898,0.0102
4FGL J1438.5-4207,219.6295,-42.1287,5.7600,$(1.7\pm0.41)	imes10^{-12}$,0.9897,0.0103
4FGL J1950.6+3456,297.6642,34.9434,6.5400,$(1.2\pm0.33)	imes10^{-12}$,0.9897,0.0103
4FGL J1047.9-3738,161.9882,-37.6456,9.2600,$(2.3\pm0.37)	imes10^{-12}$,0.9896,0.0104
4FGL J1253.8+2929,193.4680,29.4977,4.7200,$(1.0\pm0.25)	imes10^{-12}$,0.9895,0.0105
4FGL J1526.7-1529,231.6805,-15.4941,9.0000,$(2.9\pm0.46)	imes10^{-12}$,0.9894,0.0106
4FGL J1031.8-2609,157.9531,-26.1623,6.3500,$(1.5\pm0.35)	imes10^{-12}$,0.9894,0.0106
4FGL J1636.5-0454,249.1393,-4.9059,5.1600,$(1.7\pm0.46)	imes10^{-12}$,0.9893,0.0107
4FGL J0822.9+0538,125.7327,5.6428,4.3000,$(0.9\pm0.28)	imes10^{-12}$,0.9892,0.0108
4FGL J0250.6+8435,42.6642,84.5985,18.1700,$(4.9\pm0.38)	imes10^{-12}$,0.9890,0.0110
4FGL J0515.5-0125,78.8906,-1.4193,9.2000,$(1.9\pm0.41)	imes10^{-12}$,0.9890,0.0110
4FGL J1513.4-3721,228.3576,-37.3618,9.9500,$(3.5\pm0.49)	imes10^{-12}$,0.9890,0.0110
4FGL J2241.3+2943,340.3419,29.7212,10.3200,$(2.7\pm0.41)	imes10^{-12}$,0.9889,0.0111
4FGL J2329.7+6101,352.4343,61.0239,15.0700,$(7.5\pm0.82)	imes10^{-12}$,0.9887,0.0113
4FGL J0429.8+2843,67.4579,28.7191,18.7900,$(8.1\pm0.95)	imes10^{-12}$,0.9882,0.0118
4FGL J0240.6+3528,40.1581,35.4760,4.6400,$(0.6\pm0.19)	imes10^{-12}$,0.9881,0.0119
4FGL J0237.1-0714,39.2845,-7.2456,5.5300,$(1.0\pm0.28)	imes10^{-12}$,0.9881,0.0119
4FGL J1249.2-2809,192.3186,-28.1501,17.5800,$(5.4\pm0.48)	imes10^{-12}$,0.9880,0.0120
4FGL J0829.6-1140,127.4245,-11.6823,21.3900,$(5.8\pm0.59)	imes10^{-12}$,0.9879,0.0121
4FGL J1200.2+0201,180.0551,2.0172,17.8500,$(4.1\pm0.53)	imes10^{-12}$,0.9879,0.0121
4FGL J1744.9-1727,266.2350,-17.4514,27.1200,$(17.8\pm1.06)	imes10^{-12}$,0.9877,0.0123
4FGL J0400.7+3920,60.1856,39.3483,7.3100,$(3.8\pm0.66)	imes10^{-12}$,0.9876,0.0124
4FGL J0250.7+5630,42.6982,56.5137,12.4200,$(6.0\pm0.73)	imes10^{-12}$,0.9871,0.0129
4FGL J0201.1-4347,30.2848,-43.7964,6.0000,$(0.8\pm0.24)	imes10^{-12}$,0.9870,0.0130
